alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,description,family,gamma,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Fixed anchor beta/alpha/gamma fusion weights.,anchor,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,anchor,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Source-only selected compact 4-scale fusion weights.,learnable_weight,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,compact_selected,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,Tile artifact beta scale.,one_factor_compact,0.21,93.9642884196909,99.31305994872616,99.26955010344602,92.53123219082978,7.468767809170227,4.602655351447964,95.39734464855202,beta_scale,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
0.0,0.25,0.4,0.1875,0.3,0.75,0.0625,Tile artifact beta scale.,one_factor_compact,0.21,94.2221417312241,99.33381476606435,99.29222454414057,93.19987216058833,6.800127839411669,4.755588698140163,95.24441130185984,beta_scale,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.125,Tile artifact beta scale.,one_factor_compact,0.21,94.44479265614088,99.34638075690088,99.30600948425155,93.81973283395132,6.180267166048683,4.930147521669574,95.06985247833043,beta_scale,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
0.0,0.25,0.4,0.1875,0.3,0.25,0.1875,Tile artifact beta scale.,one_factor_compact,0.21,94.64109480544325,99.34925651267531,99.30903982070726,94.38738615216393,5.612613847836071,5.105196541277415,94.89480345872259,beta_scale,1.0,none,1.0,1.0,False,0.5,0.75,0.75,B0_beta_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Tile artifact beta scale.,one_factor_compact,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,beta_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,B0_beta_scale_1p00
0.0,0.25,0.4,0.1875,0.3,0.25,0.3125,Tile artifact beta scale.,one_factor_compact,0.21,94.85632832945201,99.32963466819191,99.2866780165366,95.34430812885996,4.655691871140043,5.631651469955927,94.36834853004406,beta_scale,1.0,none,1.0,1.0,False,0.5,1.25,1.25,B0_beta_scale_1p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.375,Tile artifact beta scale.,one_factor_compact,0.21,94.83557717821536,99.30542345245068,99.25954472979895,95.73599210089642,4.2640078991035555,6.064837744465732,93.93516225553425,beta_scale,1.0,none,1.0,1.0,False,0.5,1.5,1.5,B0_beta_scale_1p50
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,93.35073954627299,97.4556678911226,97.71031872845725,91.45955875838145,8.540441241618556,4.75807966583547,95.24192033416455,semantic_pos_scale,1.0,none,1.0,0.0,False,0.5,1.0,0.0,A0_semantic_pos_scale_0p00
0.0,0.25,0.1,0.1875,0.075,1.5,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,93.97056690516898,98.44895473875543,98.54506973667878,92.79013996306537,7.209860036934622,4.8490061527274255,95.15099384727259,semantic_pos_scale,1.0,none,1.0,0.25,False,0.5,1.0,0.25,A0_semantic_pos_scale_0p25
0.0,0.25,0.2,0.1875,0.15,1.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.52025738584683,99.00576588010944,99.0106151650066,94.03005378165288,5.969946218347127,4.9895390099592065,95.01046099004078,semantic_pos_scale,1.0,none,1.0,0.5,False,0.5,1.0,0.5,A0_semantic_pos_scale_0p50
0.0,0.25,0.30000000000000004,0.1875,0.22499999999999998,0.5,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.75401903365932,99.25498127649028,99.22165906221896,94.65948358812729,5.34051641187271,5.151445520808667,94.84855447919134,semantic_pos_scale,1.0,none,1.0,0.75,False,0.5,1.0,0.75,A0_semantic_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,semantic_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A0_semantic_pos_scale_1p00
0.0,0.25,0.5,0.1875,0.375,0.5,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.82980236462791,99.37148428801142,99.33198126566265,95.10803656465089,4.891963435349101,5.4484318353950645,94.55156816460494,semantic_pos_scale,1.0,none,1.0,1.25,False,0.5,1.0,1.25,A0_semantic_pos_scale_1p25
0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.7889019949043,99.37196604516775,99.33741231064364,95.22054466503677,4.779455334963227,5.642740675228196,94.35725932477179,semantic_pos_scale,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
0.0,0.0,0.4,0.0,0.3,2.0,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,93.09335210351593,99.24948050593066,99.1827545979157,97.5694528312076,2.4305471687924047,11.38274862417575,88.61725137582425,semantic_neg_scale,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
0.0,0.0625,0.4,0.046875,0.3,1.5,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.03214155670798,99.32904986103247,99.27499388385489,97.0439309699844,2.9560690300156116,8.97964785656843,91.02035214343155,semantic_neg_scale,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
0.0,0.125,0.4,0.09375,0.3,1.0,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.53203703756544,99.36400293422888,99.31769798551652,96.4245354551435,3.5754645448565006,7.360461380012576,92.63953861998742,semantic_neg_scale,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
0.0,0.1875,0.4,0.140625,0.3,0.5,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.7709160038149,99.36623634233513,99.3240415143814,95.70979017545928,4.290209824540732,6.1679581678294815,93.83204183217052,semantic_neg_scale,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,semantic_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
0.0,0.3125,0.4,0.234375,0.3,0.5,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.74155108076332,99.30345016960949,99.26080518734555,94.11528093551543,5.884719064484571,4.632178773988819,95.36782122601119,semantic_neg_scale,1.0,none,1.25,1.0,False,0.5,1.0,1.25,A1_semantic_neg_scale_1p25
0.0,0.375,0.4,0.28125,0.3,1.0,0.25,Semantic real-side negative evidence scale.,one_factor_compact,0.21,94.53995388179193,99.2464821678242,99.20034484359167,93.21031048965055,6.789689510349446,4.130402726066684,95.86959727393331,semantic_neg_scale,1.0,none,1.5,1.0,False,0.5,1.0,1.5,A1_semantic_neg_scale_1p50
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Residual gamma scale.,one_factor_compact,0.0,90.61638181373394,97.51369843291516,97.5413422272774,87.99825925102792,12.001740748972088,6.765495623560034,93.23450437643997,gamma_scale,0.0,none,1.0,1.0,False,0.5,1.0,0.0,R0_gamma_scale_0p00
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,Residual gamma scale.,one_factor_compact,0.0525,92.92006171807061,98.68993864675714,98.65422623962502,91.50995161800975,8.490048381990242,5.669828181868514,94.33017181813149,gamma_scale,0.25,none,1.0,1.0,False,0.5,1.0,0.25,R0_gamma_scale_0p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.25,Residual gamma scale.,one_factor_compact,0.105,94.02218977312931,99.1519244147021,99.10985880414196,93.39983644525061,6.600163554749382,5.355456898992002,94.64454310100801,gamma_scale,0.5,none,1.0,1.0,False,0.5,1.0,0.5,R0_gamma_scale_0p50
0.0,0.25,0.4,0.1875,0.3,0.24999999999999997,0.25,Residual gamma scale.,one_factor_compact,0.1575,94.58040172162383,99.31659353107347,99.27489055995457,94.41238615216392,5.58761384783607,5.251582708916313,94.74841729108368,gamma_scale,0.75,none,1.0,1.0,False,0.5,1.0,0.75,R0_gamma_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Residual gamma scale.,one_factor_compact,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,gamma_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,R0_gamma_scale_1p00
0.0,0.25,0.4,0.1875,0.3,0.2500000000000001,0.25,Residual gamma scale.,one_factor_compact,0.2625,94.81468745890854,99.29197204107162,99.25363887187984,95.0788570110067,4.921142988993293,5.449482093189616,94.5505179068104,gamma_scale,1.25,none,1.0,1.0,False,0.5,1.0,1.25,R0_gamma_scale_1p25
0.0,0.25,0.4,0.1875,0.3,0.5000000000000001,0.25,Residual gamma scale.,one_factor_compact,0.315,94.70711963494512,99.18209252148402,99.15405968453219,95.0325312723988,4.967468727601207,5.618292002508561,94.38170799749143,gamma_scale,1.5,none,1.0,1.0,False,0.5,1.0,1.5,R0_gamma_scale_1p50
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,Residual gamma scale.,one_factor_compact,0.3675,94.56717566142483,99.02794275273362,99.01903943507286,94.8636403134113,5.136359686588706,5.729288990561627,94.27071100943839,gamma_scale,1.75,none,1.0,1.0,False,0.5,1.0,1.75,R0_gamma_scale_1p75
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Residual gamma scale.,one_factor_compact,0.42,94.31404218684509,98.84950921271545,98.86542459850551,94.4957441063556,5.504255893644389,5.867659732665423,94.13234026733458,gamma_scale,2.0,none,1.0,1.0,False,0.5,1.0,2.0,R0_gamma_scale_2p00
0.0,0.25,0.4,0.1875,0.0,1.0,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.5665483698024,98.25207932619396,98.47732417167622,94.04877444465596,5.951225555344045,4.915677705051157,95.08432229494885,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS0_alpha_low_pos_scale_0p00
0.0,0.25,0.4,0.1875,0.075,0.75,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.83772376791407,98.87908601902858,98.95137943847617,94.66366937483008,5.336330625169916,4.988221839001934,95.01177816099806,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS0_alpha_low_pos_scale_0p25
0.0,0.25,0.4,0.1875,0.15,0.5,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.86535542506252,99.18361375913389,99.1777574546308,94.82907338949602,5.17092661050399,5.098362539370971,94.90163746062903,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS0_alpha_low_pos_scale_0p50
0.0,0.25,0.4,0.1875,0.22499999999999998,0.25000000000000006,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.85009746503187,99.30558614571787,99.27120072888566,94.89869927440179,5.1013007255982,5.198504344338079,94.80149565566192,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS0_alpha_low_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS0_alpha_low_pos_scale_1p00
0.0,0.25,0.4,0.1875,0.375,0.25000000000000006,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.78470432541224,99.34833457364687,99.30760439679011,94.98646793719992,5.013532062800082,5.417059286375457,94.58294071362455,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS0_alpha_low_pos_scale_1p25
0.0,0.25,0.4,0.1875,0.44999999999999996,0.4999999999999999,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.75152454392389,99.33691498319823,99.29981758025149,95.01564270425247,4.984357295747541,5.512593616404666,94.48740638359533,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS0_alpha_low_pos_scale_1p50
0.0,0.25,0.4,0.0,0.3,1.0,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,93.22129327998653,99.28924013309347,99.23036521883073,97.56651165473701,2.4334883452629925,11.123925094763983,88.87607490523602,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS1_alpha_low_neg_scale_0p00
0.0,0.25,0.4,0.046875,0.3,0.75,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.11498469396287,99.35543415581148,99.30716948638756,97.04098979351382,2.9590102064862,8.811020405588035,91.18897959441196,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS1_alpha_low_neg_scale_0p25
0.0,0.25,0.4,0.09375,0.3,0.5,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.58350762580075,99.37963491243943,99.33715404148057,96.42257467082977,3.577425329170226,7.2555594192282635,92.74444058077174,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS1_alpha_low_neg_scale_0p50
0.0,0.25,0.4,0.140625,0.3,0.25,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.79738659205019,99.37311795317045,99.33273576478992,95.70880978330241,4.291190216697594,6.114036599202031,93.88596340079796,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS1_alpha_low_neg_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS1_alpha_low_neg_scale_1p00
0.0,0.25,0.4,0.234375,0.3,0.25,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.71753147292016,99.29746478437585,99.25305746471483,94.1162613276723,5.883738672327708,4.6811983818319565,95.31880161816805,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS1_alpha_low_neg_scale_1p25
0.0,0.25,0.4,0.28125,0.3,0.5,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.21,94.49044407787038,99.23572590356487,99.18627413280734,93.21325166612114,6.786748333878858,4.23236351038041,95.76763648961959,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS1_alpha_low_neg_scale_1p50
0.0,0.25,0.0,0.1875,0.3,1.0,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,93.60724726973066,98.5451981944568,98.53479048737752,92.36390676701325,7.6360932329867355,5.149412227551927,94.85058777244807,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS2_alpha_high_pos_scale_0p00
0.0,0.25,0.1,0.1875,0.3,0.7500000000000001,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,93.95589923051499,98.91269984588102,98.89600607152782,93.07959304152307,6.920406958476932,5.167794580493104,94.83220541950689,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS2_alpha_high_pos_scale_0p25
0.0,0.25,0.2,0.1875,0.3,0.5,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.4779580540444,99.16573425978486,99.13550441711607,94.15410284544463,5.845897154555363,5.198186737355849,94.80181326264415,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS2_alpha_high_pos_scale_0p50
0.0,0.25,0.30000000000000004,0.1875,0.3,0.24999999999999994,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.72697766188753,99.29338563958468,99.25330344693634,94.71390676701327,5.286093232986736,5.259951443238202,94.74004855676179,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS2_alpha_high_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS2_alpha_high_pos_scale_1p00
0.0,0.25,0.5,0.1875,0.3,0.24999999999999994,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.86815413247575,99.36713532739176,99.32723420674026,95.07469108073875,4.925308919261245,5.338382815787221,94.66161718421277,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS2_alpha_high_pos_scale_1p25
0.0,0.25,0.6000000000000001,0.1875,0.3,0.5000000000000001,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.21,94.86043354424046,99.37846302463636,99.34026265853765,95.15802441407207,4.841975585927912,5.437157325591143,94.56284267440886,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS2_alpha_high_pos_scale_1p50
0.0,0.0,0.4,0.1875,0.3,1.0,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.69511491678949,99.30109836198551,99.25194748288403,94.95606362975835,5.043936370241638,5.565833796179379,94.43416620382061,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS3_alpha_high_neg_guard_scale_0p00
0.0,0.0625,0.4,0.1875,0.3,0.75,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.74021295600518,99.31609457371728,99.26892388198536,94.95606362975835,5.043936370241638,5.475637717748007,94.52436228225199,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS3_alpha_high_neg_guard_scale_0p25
0.0,0.125,0.4,0.1875,0.3,0.5,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.77158550502477,99.3278328734174,99.2826918762664,94.9550832376015,5.0449167623985005,5.4119122275519285,94.58808777244806,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS3_alpha_high_neg_guard_scale_0p50
0.0,0.1875,0.4,0.1875,0.3,0.25,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.79658550502478,99.33709636046457,99.29402837544941,94.95410284544462,5.045897154555363,5.360931835395065,94.63906816460494,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS3_alpha_high_neg_guard_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS3_alpha_high_neg_guard_scale_1p00
0.0,0.3125,0.4,0.1875,0.3,0.25,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.84707570110322,99.34995865379258,99.3104475033089,94.9521420611309,5.047857938869089,5.257990658924477,94.74200934107552,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS3_alpha_high_neg_guard_scale_1p25
0.0,0.375,0.4,0.1875,0.3,0.5,0.25,High-resolution semantic negative guard alpha.,one_factor_alpha_split,0.21,94.87256589718166,99.35437253005338,99.31627213566183,94.95018127681718,5.049818723182814,5.205049482453889,94.79495051754611,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS3_alpha_high_neg_guard_scale_1p50
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS4_alpha_high_neg_direct_0p00
0.02,0.25,0.4,0.1875,0.3,0.08,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.81558060306399,99.34551892997521,99.30418313443633,94.91390676701327,5.086093232986735,5.28274556088526,94.71725443911474,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.02,AS4_alpha_high_neg_direct_0p02
0.05,0.25,0.4,0.1875,0.3,0.2,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.79548256384831,99.34535643998878,99.30378365526965,94.84429892387601,5.155701076123991,5.253333796179377,94.74666620382062,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.05,AS4_alpha_high_neg_direct_0p05
0.1,0.25,0.4,0.1875,0.3,0.4,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.7339629560052,99.33811191458734,99.29588035665856,94.65018127681718,5.349818723182813,5.182255364806828,94.81774463519318,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.1,AS4_alpha_high_neg_direct_0p10
0.15,0.25,0.4,0.1875,0.3,0.6,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.62158550502478,99.32025926667689,99.27630486646248,94.37959304152307,5.620406958476932,5.1364220314734945,94.86357796852651,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.15,AS4_alpha_high_neg_direct_0p15
0.2,0.25,0.4,0.1875,0.3,0.8,0.25,High-resolution semantic negative alpha direct value.,one_factor_alpha_split,0.21,94.47428158345616,99.28835351805003,99.24100095510627,94.07469108073875,5.925308919261245,5.126127913826437,94.87387208617356,alpha_high_neg_direct,1.0,none,1.0,1.0,False,0.5,1.0,0.2,AS4_alpha_high_neg_direct_0p20
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,Drop tile artifact beta contribution.,drop_weight,0.21,93.9642884196909,99.31305994872616,99.26955010344602,92.53123219082978,7.468767809170227,4.602655351447964,95.39734464855202,D0_no_tile_weight,1.0,none,1.0,1.0,False,0.5,0.0,0.0,D0_no_tile_weight
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,Drop semantic positive contribution.,drop_weight,0.21,93.35073954627299,97.4556678911226,97.71031872845725,91.45955875838145,8.540441241618556,4.75807966583547,95.24192033416455,D1_no_semantic_pos_weight,1.0,none,1.0,0.0,False,0.5,1.0,0.0,D1_no_semantic_pos_weight
0.0,0.0,0.4,0.0,0.3,2.0,0.25,Drop semantic negative contribution.,drop_weight,0.21,93.09335210351593,99.24948050593066,99.1827545979157,97.5694528312076,2.4305471687924047,11.38274862417575,88.61725137582425,D2_no_semantic_neg_weight,1.0,none,0.0,1.0,False,0.5,1.0,0.0,D2_no_semantic_neg_weight
0.0,0.0,0.0,0.0,0.0,4.0,0.25,Drop all semantic contribution.,drop_weight,0.21,91.62103555652882,95.98479845790237,96.30190165569286,94.07588913630127,5.9241108636987345,10.833818023243607,89.16618197675639,D3_no_semantic_weight,1.0,none,0.0,0.0,False,0.5,1.0,0.0,D3_no_semantic_weight
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Drop residual gamma contribution.,drop_weight,0.0,90.61638181373394,97.51369843291516,97.5413422272774,87.99825925102792,12.001740748972088,6.765495623560034,93.23450437643997,D4_no_residual_weight,0.0,none,1.0,1.0,False,0.5,1.0,0.0,D4_no_residual_weight
