generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
ADM,96.34166666666667,99.51956888110576,99.47610555555556,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,RP0_full_residual_prior,Full residual prior
DALLE2,98.15,99.8560647653458,99.8359,98.8,1.2000000000000028,2.5,97.5,RP0_full_residual_prior,Full residual prior
Glide,98.38333333333334,99.84511579957446,99.84023055555555,98.53333333333333,1.4666666666666686,1.7666666666666657,98.23333333333333,RP0_full_residual_prior,Full residual prior
Midjourney,97.2,99.63461124917676,99.6067,96.23333333333333,3.7666666666666657,1.8333333333333286,98.16666666666667,RP0_full_residual_prior,Full residual prior
VQDM,93.40833333333333,99.08256864369835,99.07156388888889,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,RP0_full_residual_prior,Full residual prior
biggan,89.325,99.26843368313611,99.219275,99.3,0.7000000000000028,20.650000000000006,79.35,RP0_full_residual_prior,Full residual prior
coco_sdxl_nw,98.35000000000001,99.9416677829944,99.9414625,99.7,0.29999999999999716,3.0,97.0,RP0_full_residual_prior,Full residual prior
cyclegan,96.63133989401969,99.83309802712017,99.83948801202952,100.0,0.0,6.737320211960636,93.26267978803936,RP0_full_residual_prior,Full residual prior
gaugan,82.83,99.50537386675106,99.577634,100.0,0.0,34.34,65.66,RP0_full_residual_prior,Full residual prior
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,RP0_full_residual_prior,Full residual prior
stable_diffusion_v_1_4,92.55833333333334,98.62378111245272,98.59178055555556,87.0,13.0,1.88333333333334,98.11666666666666,RP0_full_residual_prior,Full residual prior
stable_diffusion_v_1_5,92.90625,98.79108529386482,98.6842328125,87.6375,12.362499999999997,1.8250000000000028,98.175,RP0_full_residual_prior,Full residual prior
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,RP0_full_residual_prior,Full residual prior
stylegan,99.34902353530295,99.99820935479707,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,RP0_full_residual_prior,Full residual prior
stylegan2,98.87956935403105,99.99537859382099,99.99535325772835,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,RP0_full_residual_prior,Full residual prior
whichfaceisreal,90.2,97.45436924756699,97.0824,90.3,9.700000000000003,9.899999999999991,90.10000000000001,RP0_full_residual_prior,Full residual prior
wukong,87.61666666666666,97.50111565340606,97.38930833333333,77.13333333333333,22.866666666666674,1.9000000000000057,98.1,RP0_full_residual_prior,Full residual prior
ADM,94.025,98.60239583077363,98.4449861111111,92.0,8.0,3.950000000000003,96.05,RP1_no_residual,No residual
DALLE2,92.4,97.48889707034265,97.4928,92.60000000000001,7.3999999999999915,7.799999999999997,92.2,RP1_no_residual,No residual
Glide,96.3,99.2262556164347,99.28493888888889,96.61666666666666,3.38333333333334,4.016666666666666,95.98333333333333,RP1_no_residual,No residual
Midjourney,87.48333333333333,96.13880456337401,96.6818138888889,79.26666666666667,20.733333333333334,4.299999999999997,95.7,RP1_no_residual,No residual
VQDM,91.24166666666666,97.98441362689306,97.89257222222221,86.41666666666666,13.583333333333343,3.933333333333337,96.06666666666666,RP1_no_residual,No residual
biggan,92.25,99.5708327437297,99.53852499999999,99.4,0.5999999999999943,14.900000000000006,85.1,RP1_no_residual,No residual
coco_sdxl_nw,94.825,98.54465926910379,98.743475,97.39999999999999,2.6000000000000085,7.75,92.25,RP1_no_residual,No residual
cyclegan,97.00984102952309,99.94383550474922,99.94160595653626,99.92429977289932,0.07570022710068258,5.904617713853142,94.09538228614686,RP1_no_residual,No residual
gaugan,85.68,99.90993483542614,99.91423999999999,99.98,0.01999999999999602,28.620000000000005,71.38,RP1_no_residual,No residual
progan,99.9625,99.99995624999062,99.99995625,99.97500000000001,0.024999999999991473,0.04999999999999716,99.95,RP1_no_residual,No residual
stable_diffusion_v_1_4,75.25833333333334,90.0304744249018,90.08083194444444,54.48333333333333,45.51666666666667,3.9666666666666686,96.03333333333333,RP1_no_residual,No residual
stable_diffusion_v_1_5,75.11250000000001,90.52488301368102,90.4996078125,54.125,45.875,3.9000000000000057,96.1,RP1_no_residual,No residual
stargan,99.67483741870934,99.99952636816313,99.99952452464352,100.0,0.0,0.6503251625812823,99.34967483741872,RP1_no_residual,No residual
stylegan,98.5812051410449,99.94682241828838,99.94584877928922,97.52962777499583,2.4703722250041693,0.3672174929060219,99.63278250709398,RP1_no_residual,No residual
stylegan2,95.34927391086629,99.88811701425901,99.89152481852473,90.98647971957938,9.013520280420622,0.2879318978467751,99.71206810215322,RP1_no_residual,No residual
whichfaceisreal,89.4,99.12389038415225,99.0864,99.5,0.5,20.700000000000003,79.3,RP1_no_residual,No residual
wukong,75.925,90.80917442529467,90.76416666666667,55.766666666666666,44.233333333333334,3.9166666666666714,96.08333333333333,RP1_no_residual,No residual
ADM,88.97500000000001,97.15569869990269,97.21438888888889,83.13333333333334,16.86666666666666,5.183333333333323,94.81666666666668,RP2_residual_only,Residual only
DALLE2,97.1,99.69660567292483,99.64420000000001,97.39999999999999,2.6000000000000085,3.200000000000003,96.8,RP2_residual_only,Residual only
Glide,94.53333333333333,98.70912849391506,98.77752916666667,94.46666666666667,5.533333333333331,5.400000000000006,94.6,RP2_residual_only,Residual only
Midjourney,96.33333333333334,99.45866537356345,99.42326944444444,97.58333333333333,2.4166666666666714,4.916666666666671,95.08333333333333,RP2_residual_only,Residual only
VQDM,81.70833333333334,93.98841701768248,94.66348472222222,68.71666666666667,31.28333333333333,5.300000000000011,94.69999999999999,RP2_residual_only,Residual only
biggan,77.875,85.78296999969916,87.81695,88.5,11.5,32.75,67.25,RP2_residual_only,Residual only
coco_sdxl_nw,97.775,99.83796804010849,99.8337125,99.4,0.5999999999999943,3.8499999999999943,96.15,RP2_residual_only,Residual only
cyclegan,80.24224072672219,87.91012921141679,90.83416951234958,74.33762301286903,25.66237698713097,13.853141559424671,86.14685844057533,RP2_residual_only,Residual only
gaugan,65.86999999999999,65.05588866530594,70.760986,75.9,24.099999999999994,44.16,55.84,RP2_residual_only,Residual only
progan,99.52499999999999,99.98979277536552,99.9895375,99.5,0.5,0.44999999999998863,99.55000000000001,RP2_residual_only,Residual only
stable_diffusion_v_1_4,95.7,99.2312250775085,99.23100694444445,96.65,3.3499999999999943,5.25,94.75,RP2_residual_only,Residual only
stable_diffusion_v_1_5,95.825,99.28792050629822,99.20499609375,96.98750000000001,3.0124999999999886,5.3374999999999915,94.66250000000001,RP2_residual_only,Residual only
stargan,99.0495247623812,99.99855677089911,99.99857357393054,100.0,0.0,1.9009504752376216,98.09904952476238,RP2_residual_only,Residual only
stylegan,97.2375229510933,99.65589952293729,99.57185263233971,94.87564680353864,5.124353196461357,0.4006009013520355,99.59939909864796,RP2_residual_only,Residual only
stylegan2,97.96569854782173,99.90233046407646,99.89822772466161,96.4321482223335,3.5678517776665046,0.5007511266900337,99.49924887330997,RP2_residual_only,Residual only
whichfaceisreal,57.8,67.08982349758114,66.8473,30.4,69.6,14.799999999999997,85.2,RP2_residual_only,Residual only
wukong,89.28333333333333,96.56840551729826,96.85841805555555,84.55,15.450000000000003,5.983333333333334,94.01666666666667,RP2_residual_only,Residual only
ADM,95.25833333333334,99.03142564860897,98.92312222222223,96.3,3.700000000000003,5.783333333333331,94.21666666666667,RP3_artifact_residual,Artifact + residual
DALLE2,97.85000000000001,99.97031508605542,99.9679,99.7,0.29999999999999716,4.0,96.0,RP3_artifact_residual,Artifact + residual
Glide,96.69166666666666,99.82448125028863,99.81533611111111,99.38333333333334,0.61666666666666,6.0,94.0,RP3_artifact_residual,Artifact + residual
Midjourney,95.16666666666667,99.08100522472186,98.90513055555556,95.96666666666667,4.033333333333331,5.63333333333334,94.36666666666666,RP3_artifact_residual,Artifact + residual
VQDM,93.81666666666668,98.52063354899586,98.60234583333335,93.43333333333334,6.566666666666663,5.800000000000011,94.19999999999999,RP3_artifact_residual,Artifact + residual
biggan,77.67500000000001,92.00021450327905,92.3385,98.5,1.5,43.15,56.85,RP3_artifact_residual,Artifact + residual
coco_sdxl_nw,97.175,99.91560828978446,99.910175,99.6,0.4000000000000057,5.25,94.75,RP3_artifact_residual,Artifact + residual
cyclegan,89.25056775170326,95.34339932271962,96.05436204650779,97.9560938682816,2.0439061317184013,19.454958364875097,80.5450416351249,RP3_artifact_residual,Artifact + residual
gaugan,68.75,71.9920014013461,76.538572,96.06,3.9399999999999977,58.56,41.44,RP3_artifact_residual,Artifact + residual
progan,99.46249999999999,99.99223821610235,99.991975,99.75,0.25,0.8250000000000028,99.175,RP3_artifact_residual,Artifact + residual
stable_diffusion_v_1_4,94.95,99.0826220963354,99.03906111111111,95.8,4.200000000000003,5.900000000000006,94.1,RP3_artifact_residual,Artifact + residual
stable_diffusion_v_1_5,95.38125,99.21776206324844,99.12037343749999,96.1375,3.862499999999997,5.375,94.625,RP3_artifact_residual,Artifact + residual
stargan,99.77488744372187,99.99992497496874,99.99992492494371,100.0,0.0,0.45022511255628217,99.54977488744372,RP3_artifact_residual,Artifact + residual
stylegan,99.07361041562343,99.97655992160185,99.9761200806384,98.54782173259889,1.4521782674011092,0.4006009013520355,99.59939909864796,RP3_artifact_residual,Artifact + residual
stylegan2,98.74812218327492,99.96067592231167,99.96002704607739,98.02203304957436,1.977966950425639,0.525788683024544,99.47421131697546,RP3_artifact_residual,Artifact + residual
whichfaceisreal,67.7,80.35988767575422,80.66499999999999,46.7,53.3,11.299999999999997,88.7,RP3_artifact_residual,Artifact + residual
wukong,90.83333333333333,97.47281863821766,97.32440277777778,87.43333333333332,12.566666666666677,5.766666666666666,94.23333333333333,RP3_artifact_residual,Artifact + residual
ADM,88.20833333333333,97.31555639919637,97.09729722222222,78.96666666666667,21.03333333333333,2.549999999999997,97.45,RP4_semantic_residual,Semantic + residual
DALLE2,72.55,85.03496748019079,84.90220000000001,52.400000000000006,47.599999999999994,7.299999999999997,92.7,RP4_semantic_residual,Semantic + residual
Glide,89.36666666666667,97.66066588720676,97.49327916666667,80.78333333333333,19.21666666666667,2.049999999999997,97.95,RP4_semantic_residual,Semantic + residual
Midjourney,59.13333333333334,77.39396350707885,76.99780277777778,20.75,79.25,2.4833333333333343,97.51666666666667,RP4_semantic_residual,Semantic + residual
VQDM,80.80000000000001,94.25839749687988,93.33765277777778,63.916666666666664,36.083333333333336,2.316666666666663,97.68333333333334,RP4_semantic_residual,Semantic + residual
biggan,95.775,99.33611439684135,99.2465375,94.95,5.049999999999997,3.4000000000000057,96.6,RP4_semantic_residual,Semantic + residual
coco_sdxl_nw,78.14999999999999,91.43265270022732,91.7986,61.199999999999996,38.800000000000004,4.900000000000006,95.1,RP4_semantic_residual,Semantic + residual
cyclegan,98.37244511733535,99.82720104326009,99.80877240133613,99.5457986373959,0.4542013626040955,2.800908402725213,97.19909159727479,RP4_semantic_residual,Semantic + residual
gaugan,95.3,99.95547247879917,99.956074,100.0,0.0,9.399999999999991,90.60000000000001,RP4_semantic_residual,Semantic + residual
progan,99.9625,99.99996250468163,99.9999625,99.97500000000001,0.024999999999991473,0.04999999999999716,99.95,RP4_semantic_residual,Semantic + residual
stable_diffusion_v_1_4,66.21666666666667,86.7994586818315,87.37545277777777,34.949999999999996,65.05000000000001,2.5166666666666657,97.48333333333333,RP4_semantic_residual,Semantic + residual
stable_diffusion_v_1_5,66.35625,87.26664939208236,87.59685937500001,35.075,64.925,2.362499999999997,97.6375,RP4_semantic_residual,Semantic + residual
stargan,99.2496248124062,99.9949199248647,99.99491992119121,100.0,0.0,1.500750375187593,98.4992496248124,RP4_semantic_residual,Semantic + residual
stylegan,92.93940911367051,99.7921053870213,99.78927942350292,86.11250208646302,13.887497913536976,0.23368385912201006,99.76631614087799,RP4_semantic_residual,Semantic + residual
stylegan2,89.5906359539309,99.7467191359909,99.75475544312964,79.36905358037055,20.630946419629453,0.18778167250876265,99.81221832749124,RP4_semantic_residual,Semantic + residual
whichfaceisreal,90.95,97.88328572896712,97.56240000000001,92.7,7.299999999999997,10.799999999999997,89.2,RP4_semantic_residual,Semantic + residual
wukong,66.125,87.00138765662025,87.00111527777777,34.78333333333333,65.21666666666667,2.5333333333333314,97.46666666666667,RP4_semantic_residual,Semantic + residual
ADM,94.025,98.60239583077363,98.4449861111111,92.0,8.0,3.950000000000003,96.05,RP6_gamma_scale_0p00,Gamma scale 0.00
DALLE2,92.4,97.48889707034265,97.4928,92.60000000000001,7.3999999999999915,7.799999999999997,92.2,RP6_gamma_scale_0p00,Gamma scale 0.00
Glide,96.3,99.2262556164347,99.28493888888889,96.61666666666666,3.38333333333334,4.016666666666666,95.98333333333333,RP6_gamma_scale_0p00,Gamma scale 0.00
Midjourney,87.48333333333333,96.13880456337401,96.6818138888889,79.26666666666667,20.733333333333334,4.299999999999997,95.7,RP6_gamma_scale_0p00,Gamma scale 0.00
VQDM,91.24166666666666,97.98441362689306,97.89257222222221,86.41666666666666,13.583333333333343,3.933333333333337,96.06666666666666,RP6_gamma_scale_0p00,Gamma scale 0.00
biggan,92.25,99.5708327437297,99.53852499999999,99.4,0.5999999999999943,14.900000000000006,85.1,RP6_gamma_scale_0p00,Gamma scale 0.00
coco_sdxl_nw,94.825,98.54465926910379,98.743475,97.39999999999999,2.6000000000000085,7.75,92.25,RP6_gamma_scale_0p00,Gamma scale 0.00
cyclegan,97.00984102952309,99.94383550474922,99.94160595653626,99.92429977289932,0.07570022710068258,5.904617713853142,94.09538228614686,RP6_gamma_scale_0p00,Gamma scale 0.00
gaugan,85.68,99.90993483542614,99.91423999999999,99.98,0.01999999999999602,28.620000000000005,71.38,RP6_gamma_scale_0p00,Gamma scale 0.00
progan,99.9625,99.99995624999062,99.99995625,99.97500000000001,0.024999999999991473,0.04999999999999716,99.95,RP6_gamma_scale_0p00,Gamma scale 0.00
stable_diffusion_v_1_4,75.25833333333334,90.0304744249018,90.08083194444444,54.48333333333333,45.51666666666667,3.9666666666666686,96.03333333333333,RP6_gamma_scale_0p00,Gamma scale 0.00
stable_diffusion_v_1_5,75.11250000000001,90.52488301368102,90.4996078125,54.125,45.875,3.9000000000000057,96.1,RP6_gamma_scale_0p00,Gamma scale 0.00
stargan,99.67483741870934,99.99952636816313,99.99952452464352,100.0,0.0,0.6503251625812823,99.34967483741872,RP6_gamma_scale_0p00,Gamma scale 0.00
stylegan,98.5812051410449,99.94682241828838,99.94584877928922,97.52962777499583,2.4703722250041693,0.3672174929060219,99.63278250709398,RP6_gamma_scale_0p00,Gamma scale 0.00
stylegan2,95.34927391086629,99.88811701425901,99.89152481852473,90.98647971957938,9.013520280420622,0.2879318978467751,99.71206810215322,RP6_gamma_scale_0p00,Gamma scale 0.00
whichfaceisreal,89.4,99.12389038415225,99.0864,99.5,0.5,20.700000000000003,79.3,RP6_gamma_scale_0p00,Gamma scale 0.00
wukong,75.925,90.80917442529467,90.76416666666667,55.766666666666666,44.233333333333334,3.9166666666666714,96.08333333333333,RP6_gamma_scale_0p00,Gamma scale 0.00
ADM,96.13333333333334,99.39530956427598,99.33014999999999,94.38333333333333,5.616666666666674,2.11666666666666,97.88333333333334,RP6_gamma_scale_0p50,Gamma scale 0.50
DALLE2,96.8,99.6383007566329,99.5868,98.0,2.0,4.400000000000006,95.6,RP6_gamma_scale_0p50,Gamma scale 0.50
Glide,98.15,99.77823540592028,99.78447916666666,98.48333333333333,1.5166666666666657,2.183333333333337,97.81666666666666,RP6_gamma_scale_0p50,Gamma scale 0.50
Midjourney,95.68333333333334,99.29500717101898,99.2675611111111,93.61666666666667,6.383333333333326,2.25,97.75,RP6_gamma_scale_0p50,Gamma scale 0.50
VQDM,93.23333333333333,98.93632511136087,98.89426666666667,88.51666666666667,11.483333333333334,2.049999999999997,97.95,RP6_gamma_scale_0p50,Gamma scale 0.50
biggan,90.75,99.51408151377706,99.480375,99.5,0.5,18.0,82.0,RP6_gamma_scale_0p50,Gamma scale 0.50
coco_sdxl_nw,97.7,99.8153919160119,99.825475,99.5,0.5,4.1000000000000085,95.89999999999999,RP6_gamma_scale_0p50,Gamma scale 0.50
cyclegan,97.1233913701741,99.93553837761658,99.93581812690934,99.92429977289932,0.07570022710068258,5.677517032551094,94.3224829674489,RP6_gamma_scale_0p50,Gamma scale 0.50
gaugan,84.13000000000001,99.83321282524096,99.850472,100.0,0.0,31.739999999999995,68.26,RP6_gamma_scale_0p50,Gamma scale 0.50
progan,99.9875,99.99998124999922,99.99998125,100.0,0.0,0.024999999999991473,99.97500000000001,RP6_gamma_scale_0p50,Gamma scale 0.50
stable_diffusion_v_1_4,87.36666666666667,97.09386501389852,97.02595555555556,76.73333333333333,23.266666666666666,2.0,98.0,RP6_gamma_scale_0p50,Gamma scale 0.50
stable_diffusion_v_1_5,87.56875,97.36341984706789,97.213128125,77.3375,22.662499999999994,2.200000000000003,97.8,RP6_gamma_scale_0p50,Gamma scale 0.50
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,RP6_gamma_scale_0p50,Gamma scale 0.50
stylegan,99.44082790852946,99.99651008567764,99.9964114646905,98.91503922550491,1.0849607744950873,0.03338340844599941,99.966616591554,RP6_gamma_scale_0p50,Gamma scale 0.50
stylegan2,98.43515272909364,99.98821962706285,99.98818175936914,96.92038057085628,3.079619429143719,0.050075112669006216,99.949924887331,RP6_gamma_scale_0p50,Gamma scale 0.50
whichfaceisreal,92.35,98.85415682179915,98.7159,96.39999999999999,3.6000000000000085,11.700000000000003,88.3,RP6_gamma_scale_0p50,Gamma scale 0.50
wukong,83.65,96.14515976257493,95.97264444444444,69.56666666666666,30.433333333333337,2.2666666666666657,97.73333333333333,RP6_gamma_scale_0p50,Gamma scale 0.50
ADM,96.34166666666667,99.51956888110576,99.47610555555556,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,RP6_gamma_scale_1p00,Gamma scale 1.00
DALLE2,98.15,99.8560647653458,99.8359,98.8,1.2000000000000028,2.5,97.5,RP6_gamma_scale_1p00,Gamma scale 1.00
Glide,98.38333333333334,99.84511579957446,99.84023055555555,98.53333333333333,1.4666666666666686,1.7666666666666657,98.23333333333333,RP6_gamma_scale_1p00,Gamma scale 1.00
Midjourney,97.2,99.63461124917676,99.6067,96.23333333333333,3.7666666666666657,1.8333333333333286,98.16666666666667,RP6_gamma_scale_1p00,Gamma scale 1.00
VQDM,93.40833333333333,99.08256864369835,99.07156388888889,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,RP6_gamma_scale_1p00,Gamma scale 1.00
biggan,89.325,99.26843368313611,99.219275,99.3,0.7000000000000028,20.650000000000006,79.35,RP6_gamma_scale_1p00,Gamma scale 1.00
coco_sdxl_nw,98.35000000000001,99.9416677829944,99.9414625,99.7,0.29999999999999716,3.0,97.0,RP6_gamma_scale_1p00,Gamma scale 1.00
cyclegan,96.63133989401969,99.83309802712017,99.83948801202952,100.0,0.0,6.737320211960636,93.26267978803936,RP6_gamma_scale_1p00,Gamma scale 1.00
gaugan,82.83,99.50537386675106,99.577634,100.0,0.0,34.34,65.66,RP6_gamma_scale_1p00,Gamma scale 1.00
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,RP6_gamma_scale_1p00,Gamma scale 1.00
stable_diffusion_v_1_4,92.55833333333334,98.62378111245272,98.59178055555556,87.0,13.0,1.88333333333334,98.11666666666666,RP6_gamma_scale_1p00,Gamma scale 1.00
stable_diffusion_v_1_5,92.90625,98.79108529386482,98.6842328125,87.6375,12.362499999999997,1.8250000000000028,98.175,RP6_gamma_scale_1p00,Gamma scale 1.00
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,RP6_gamma_scale_1p00,Gamma scale 1.00
stylegan,99.34902353530295,99.99820935479707,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,RP6_gamma_scale_1p00,Gamma scale 1.00
stylegan2,98.87956935403105,99.99537859382099,99.99535325772835,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,RP6_gamma_scale_1p00,Gamma scale 1.00
whichfaceisreal,90.2,97.45436924756699,97.0824,90.3,9.700000000000003,9.899999999999991,90.10000000000001,RP6_gamma_scale_1p00,Gamma scale 1.00
wukong,87.61666666666666,97.50111565340606,97.38930833333333,77.13333333333333,22.866666666666674,1.9000000000000057,98.1,RP6_gamma_scale_1p00,Gamma scale 1.00
ADM,96.04166666666667,99.50150276862799,99.46648333333333,94.1,5.900000000000006,2.0166666666666657,97.98333333333333,RP6_gamma_scale_1p50,Gamma scale 1.50
DALLE2,98.5,99.90356954153181,99.8943,98.9,1.0999999999999943,1.9000000000000057,98.1,RP6_gamma_scale_1p50,Gamma scale 1.50
Glide,98.26666666666667,99.84459308761821,99.83651666666667,98.43333333333332,1.566666666666677,1.9000000000000057,98.1,RP6_gamma_scale_1p50,Gamma scale 1.50
Midjourney,97.59166666666667,99.7065574748255,99.68583611111112,96.98333333333333,3.0166666666666657,1.7999999999999972,98.2,RP6_gamma_scale_1p50,Gamma scale 1.50
VQDM,93.09166666666667,99.02495351221314,99.0466611111111,87.85,12.150000000000006,1.6666666666666714,98.33333333333333,RP6_gamma_scale_1p50,Gamma scale 1.50
biggan,88.225,98.87678716691369,98.82107500000001,99.25,0.75,22.799999999999997,77.2,RP6_gamma_scale_1p50,Gamma scale 1.50
coco_sdxl_nw,98.425,99.96083902263676,99.96097499999999,99.75,0.25,2.9000000000000057,97.1,RP6_gamma_scale_1p50,Gamma scale 1.50
cyclegan,95.95003785011355,99.55225344611148,99.59009559087724,100.0,0.0,8.099924299772894,91.9000757002271,RP6_gamma_scale_1p50,Gamma scale 1.50
gaugan,82.13000000000001,98.63204198727983,98.884626,100.0,0.0,35.74000000000001,64.25999999999999,RP6_gamma_scale_1p50,Gamma scale 1.50
progan,99.97500000000001,99.99999375156212,99.99999375,99.97500000000001,0.024999999999991473,0.024999999999991473,99.97500000000001,RP6_gamma_scale_1p50,Gamma scale 1.50
stable_diffusion_v_1_4,94.53333333333333,99.05902398854141,99.04197222222221,91.03333333333333,8.966666666666669,1.9666666666666686,98.03333333333333,RP6_gamma_scale_1p50,Gamma scale 1.50
stable_diffusion_v_1_5,94.81875,99.18601191075133,99.1024390625,91.4625,8.537499999999994,1.8250000000000028,98.175,RP6_gamma_scale_1p50,Gamma scale 1.50
stargan,99.84992496248124,100.0,100.0,100.0,0.0,0.30015007503752145,99.69984992496248,RP6_gamma_scale_1p50,Gamma scale 1.50
stylegan,99.21548990151895,99.997181166099,99.99716650589305,98.43097980303789,1.5690201969621143,0.0,100.0,RP6_gamma_scale_1p50,Gamma scale 1.50
stylegan2,98.99849774661993,99.99658820812397,99.9965756722214,98.03455182774161,1.965448172258391,0.037556334501758215,99.96244366549824,RP6_gamma_scale_1p50,Gamma scale 1.50
whichfaceisreal,85.39999999999999,94.95456107902697,94.4562,81.39999999999999,18.60000000000001,10.599999999999994,89.4,RP6_gamma_scale_1p50,Gamma scale 1.50
wukong,89.00833333333334,97.89911475336514,97.8380986111111,79.95,20.049999999999997,1.9333333333333371,98.06666666666666,RP6_gamma_scale_1p50,Gamma scale 1.50
ADM,95.78333333333333,99.43967719977181,99.41148611111112,93.68333333333332,6.316666666666677,2.11666666666666,97.88333333333334,RP6_gamma_scale_2p00,Gamma scale 2.00
DALLE2,98.6,99.91897969345544,99.9134,98.7,1.2999999999999972,1.5,98.5,RP6_gamma_scale_2p00,Gamma scale 2.00
Glide,98.00833333333333,99.82145954518874,99.81201944444445,98.1,1.9000000000000057,2.083333333333343,97.91666666666666,RP6_gamma_scale_2p00,Gamma scale 2.00
Midjourney,97.65,99.7241086131243,99.706925,97.33333333333334,2.666666666666657,2.0333333333333314,97.96666666666667,RP6_gamma_scale_2p00,Gamma scale 2.00
VQDM,92.49166666666667,98.88959575246173,98.95031944444445,86.93333333333332,13.066666666666677,1.9500000000000028,98.05,RP6_gamma_scale_2p00,Gamma scale 2.00
biggan,87.52499999999999,98.35145481905894,98.31425,99.1,0.9000000000000057,24.05000000000001,75.94999999999999,RP6_gamma_scale_2p00,Gamma scale 2.00
coco_sdxl_nw,98.425,99.96219868067517,99.962575,99.75,0.25,2.9000000000000057,97.1,RP6_gamma_scale_2p00,Gamma scale 2.00
cyclegan,95.72293716881151,99.0979755804278,99.21944527377867,100.0,0.0,8.55412566237699,91.44587433762301,RP6_gamma_scale_2p00,Gamma scale 2.00
gaugan,81.55,97.12237068051917,97.790964,100.0,0.0,36.9,63.1,RP6_gamma_scale_2p00,Gamma scale 2.00
progan,99.97500000000001,99.99999375156212,99.99999375,99.97500000000001,0.024999999999991473,0.024999999999991473,99.97500000000001,RP6_gamma_scale_2p00,Gamma scale 2.00
stable_diffusion_v_1_4,95.25,99.22604662639378,99.21451111111111,92.5,7.5,2.0,98.0,RP6_gamma_scale_2p00,Gamma scale 2.00
stable_diffusion_v_1_5,95.6125,99.3319424656505,99.2595796875,93.27499999999999,6.7250000000000085,2.049999999999997,97.95,RP6_gamma_scale_2p00,Gamma scale 2.00
stargan,99.8249124562281,100.0,100.0,100.0,0.0,0.350175087543775,99.64982491245622,RP6_gamma_scale_2p00,Gamma scale 2.00
stylegan,99.04857285928892,99.99426472415568,99.99419091916126,98.11383742280087,1.88616257719913,0.01669170422300681,99.983308295777,RP6_gamma_scale_2p00,Gamma scale 2.00
stylegan2,99.02979469203805,99.99656506744039,99.99655843304265,98.09714571857788,1.9028542814221225,0.037556334501758215,99.96244366549824,RP6_gamma_scale_2p00,Gamma scale 2.00
whichfaceisreal,79.14999999999999,91.5438757776157,91.17150000000001,69.3,30.700000000000003,11.0,89.0,RP6_gamma_scale_2p00,Gamma scale 2.00
wukong,89.69166666666666,98.0211476386613,97.9945,81.56666666666666,18.433333333333337,2.183333333333337,97.81666666666666,RP6_gamma_scale_2p00,Gamma scale 2.00
